,Lawyer,Matter Type,Jurisdiction,Industry,Client Role,Tort,Contract,Restitution,Statute,Injunction,Jurisdiction Motion,Motion to Strike,Summary Judgment,Claim Amount
25,Lawyer Eta,Action (Product Liability),Quebec,Technology,Third Party,0,1,0,1,0,1,1,1,3147212
26,Lawyer Delta,Class Action (Competition),British Columbia,Insurance,Third Party,1,0,0,0,0,0,1,1,14397852
27,Lawyer Beta,Class Action (Privacy,Quebec,Resources,Plaintiff,0,1,0,0,0,1,0,0,9898600
28,Lawyer Epsilon,Class Action (Product Liabilty,Quebec,Banking,Defendant,0,1,1,0,1,0,1,1,16309613
29,Lawyer Iota,Class Action (Product Liabilty,Quebec,Technology,Third Party,0,1,0,1,1,1,1,0,3037478
30,Lawyer Theta,Class Action (Privacy,Quebec,Resources,Defendant,1,0,0,0,0,1,0,1,12173794
31,Lawyer Gamma,Class Action (Securities),British Columbia,Resources,Plaintiff,0,0,0,1,1,0,1,0,16727648
32,Lawyer Alpha,Class Action (Securities),Ontario,Construction,Defendant,0,1,0,1,0,1,0,0,11754493
33,Lawyer Zeta,Action (Securities),British Columbia,Insurance,Third Party,1,0,0,1,1,0,0,0,5984276
34,Lawyer Iota,Class Action (Competition),Alberta,Resources,Plaintiff,0,1,1,0,0,1,1,1,16544636
35,Lawyer Delta,Class Action (Securities),Federal,Construction,Defendant,1,0,1,0,0,0,1,1,3655627
36,Lawyer Epsilon,Action (Product Liability),Quebec,Pharmaceuticals,Defendant,1,1,1,1,1,0,0,0,4797701
37,Lawyer Epsilon,Class Action (Competition),Alberta,Transportation,Plaintiff,0,1,0,0,1,1,0,1,12062105
38,Lawyer Epsilon,Class Action (Privacy,Federal,Transportation,Third Party,1,0,0,0,0,1,0,1,6146586
39,Lawyer Kappa,Action (Product Liability),British Columbia,Transportation,Plaintiff,0,1,0,0,1,1,1,1,4877202
40,Lawyer Zeta,Action (Securities),Federal,Transportation,Third Party,1,0,0,0,0,0,0,1,17870531
41,Lawyer Gamma,Class Action (Privacy,Federal,Retail,Defendant,0,1,1,0,0,1,0,1,9583293
42,Lawyer Iota,Action (Privacy),Alberta,Banking,Third Party,1,0,0,1,1,0,0,0,13165634
43,Lawyer Delta,Class Action (Securities),Alberta,Technology,Third Party,0,1,1,0,1,0,0,1,11780780
44,Lawyer Iota,Action (Securities),Quebec,Technology,Plaintiff,1,0,0,1,1,0,0,1,12778065
45,Lawyer Iota,Action (Securities),Quebec,Resources,Defendant,1,0,1,0,0,0,1,0,2640260
46,Lawyer Alpha,Action (Product Liability),Federal,Pharmaceuticals,Defendant,1,1,0,1,1,0,1,1,5560827
47,Lawyer Gamma,Class Action (Privacy,Quebec,Technology,Plaintiff,0,0,0,1,1,1,0,1,5462420
48,Lawyer Alpha,Action (Product Liability),British Columbia,Resources,Defendant,1,0,1,1,1,0,1,1,13624846
49,Lawyer Theta,Action (Privacy),Federal,Construction,Third Party,0,1,0,1,1,0,0,1,1915486
50,Lawyer Zeta,Class Action (Securities),Federal,Resources,Third Party,0,1,0,1,1,1,1,0,5920882
51,Lawyer Beta,Action (Securities),Federal,Pharmaceuticals,Plaintiff,1,0,0,0,0,1,1,0,9867110
52,Lawyer Delta,Class Action (Securities),Quebec,Insurance,Defendant,0,1,1,1,1,0,0,0,15088911
53,Lawyer Iota,Class Action (Product Liabilty,British Columbia,Retail,Plaintiff,1,1,1,1,1,1,1,0,15021072
54,Lawyer Gamma,Class Action (Product Liabilty,British Columbia,Transportation,Defendant,0,0,1,0,1,1,0,0,11727915
55,Lawyer Theta,Action (Commercial),British Columbia,Transportation,Third Party,0,1,1,0,1,0,1,0,12105099
56,Lawyer Zeta,Action (Securities),British Columbia,Technology,Plaintiff,1,1,1,1,0,0,0,0,19179026
57,Lawyer Kappa,Class Action (Product Liabilty,Federal,Resources,Plaintiff,0,1,0,1,1,0,1,1,11304367
58,Lawyer Zeta,Action (Product Liability),Ontario,Insurance,Third Party,1,1,0,0,0,1,0,1,5765116
59,Lawyer Iota,Class Action (Product Liabilty,Ontario,Transportation,Third Party,0,0,1,0,0,1,0,1,19174820
60,Lawyer Epsilon,Action (Securities),Alberta,Transportation,Defendant,1,0,0,0,0,0,1,0,3567924
61,Lawyer Beta,Action (Privacy),British Columbia,Banking,Third Party,0,1,0,1,0,0,0,0,7181744
62,Lawyer Zeta,Class Action (Privacy,British Columbia,Insurance,Third Party,1,0,1,0,0,0,1,0,10834235
63,Lawyer Beta,Class Action (Competition),Alberta,Resources,Defendant,0,0,1,0,1,1,1,0,5472308
64,Lawyer Iota,Action (Securities),Quebec,Construction,Third Party,0,0,1,1,0,0,0,1,18793404
65,Lawyer Gamma,Action (Product Liability),Ontario,Banking,Plaintiff,0,1,0,0,1,0,0,1,8102059
66,Lawyer Zeta,Class Action (Securities),Quebec,Technology,Defendant,1,1,1,1,1,0,0,0,8942959
67,Lawyer Beta,Class Action (Securities),Federal,Transportation,Plaintiff,1,0,0,0,0,1,1,0,8118100
68,Lawyer Zeta,Action (Securities),Ontario,Construction,Defendant,1,0,1,0,0,1,0,0,13700300
69,Lawyer Alpha,Action (Privacy),Quebec,Retail,Plaintiff,1,0,1,1,1,1,0,0,2877482
70,Lawyer Epsilon,Class Action (Competition),Ontario,Banking,Plaintiff,0,0,0,1,1,1,0,0,19206854
71,Lawyer Delta,Class Action (Securities),Alberta,Insurance,Plaintiff,0,1,1,0,0,0,0,0,19873518
72,Lawyer Eta,Action (Commercial),Ontario,Retail,Defendant,0,1,0,1,1,1,1,0,8252424
73,Lawyer Epsilon,Class Action (Securities),Ontario,Resources,Defendant,1,0,0,0,0,0,0,1,19512068
74,Lawyer Zeta,Class Action (Privacy,British Columbia,Transportation,Plaintiff,1,0,1,0,0,1,1,0,2591174
75,Lawyer Theta,Action (Commercial),Alberta,Resources,Plaintiff,0,1,0,1,0,1,0,0,3651713
76,Lawyer Zeta,Action (Product Liability),Ontario,Insurance,Plaintiff,0,1,1,0,0,1,0,1,12229446
77,Lawyer Eta,Class Action (Securities),Alberta,Retail,Third Party,0,1,1,0,0,1,0,1,8399821
78,Lawyer Eta,Action (Product Liability),Federal,Banking,Defendant,0,0,0,0,0,0,1,0,11694625
79,Lawyer Eta,Class Action (Securities),Ontario,Retail,Plaintiff,0,1,0,0,1,1,1,0,1822307
80,Lawyer Alpha,Class Action (Competition),Alberta,Retail,Defendant,1,1,0,1,0,0,0,1,14986620
81,Lawyer Delta,Class Action (Privacy,British Columbia,Technology,Plaintiff,0,0,0,1,0,0,1,1,5144489
82,Lawyer Alpha,Class Action (Product Liabilty,British Columbia,Insurance,Third Party,1,0,1,1,1,0,1,1,11123129
83,Lawyer Beta,Class Action (Competition),Federal,Technology,Third Party,1,1,1,0,1,0,1,0,19520845
84,Lawyer Eta,Class Action (Privacy,Alberta,Technology,Plaintiff,0,1,1,1,1,0,1,0,7610896
85,Lawyer Eta,Class Action (Securities),Quebec,Insurance,Plaintiff,0,1,1,1,0,1,0,1,19691513
86,Lawyer Kappa,Class Action (Competition),Alberta,Banking,Defendant,1,1,1,1,1,1,1,1,11590431
87,Lawyer Epsilon,Action (Securities),Ontario,Pharmaceuticals,Third Party,0,1,1,0,0,1,1,0,2301074
88,Lawyer Alpha,Action (Securities),Ontario,Banking,Plaintiff,0,0,0,0,0,0,0,0,19415128
89,Lawyer Alpha,Action (Product Liability),Ontario,Retail,Defendant,0,1,1,1,1,1,1,0,15596838
90,Lawyer Kappa,Action (Securities),Ontario,Banking,Plaintiff,0,0,0,0,1,0,1,1,15695545
91,Lawyer Alpha,Action (Product Liability),Federal,Retail,Plaintiff,0,1,0,1,0,1,1,1,7283532
92,Lawyer Theta,Class Action (Product Liabilty,Federal,Construction,Defendant,1,1,0,0,0,0,1,0,17729636
93,Lawyer Iota,Class Action (Securities),Ontario,Resources,Plaintiff,0,0,1,0,0,1,0,0,4081217
94,Lawyer Delta,Action (Commercial),Federal,Transportation,Defendant,1,0,0,1,1,0,0,1,1943843
95,Lawyer Kappa,Action (Commercial),Quebec,Resources,Third Party,0,0,0,0,1,0,1,0,18485527
96,Lawyer Theta,Class Action (Product Liabilty,Quebec,Retail,Defendant,1,1,0,1,1,0,1,1,7188847
97,Lawyer Epsilon,Action (Commercial),Alberta,Banking,Defendant,1,0,0,1,0,0,1,0,14719211
98,Lawyer Gamma,Class Action (Competition),Ontario,Banking,Defendant,0,0,1,0,1,0,1,0,9341404
99,Lawyer Epsilon,Class Action (Competition),Quebec,Banking,Defendant,1,0,1,1,0,0,0,0,4889418
100,Lawyer Iota,Action (Product Liability),Federal,Pharmaceuticals,Third Party,1,0,1,0,0,0,0,1,5052723
101,Lawyer Delta,Action (Commercial),Federal,Resources,Third Party,0,1,1,1,0,1,1,0,14853375
102,Lawyer Iota,Action (Privacy),Federal,Pharmaceuticals,Plaintiff,0,1,0,0,1,1,1,0,13805056
103,Lawyer Beta,Action (Securities),British Columbia,Resources,Defendant,1,0,1,1,1,0,0,1,14579607
104,Lawyer Eta,Class Action (Securities),Ontario,Insurance,Plaintiff,1,1,1,1,0,1,1,1,17146200
105,Lawyer Gamma,Class Action (Competition),Alberta,Transportation,Third Party,0,1,0,1,1,1,0,0,17793264
106,Lawyer Eta,Class Action (Product Liabilty,British Columbia,Transportation,Plaintiff,0,1,1,0,1,1,0,0,1278395
107,Lawyer Kappa,Class Action (Securities),Ontario,Transportation,Third Party,1,1,0,1,1,1,0,0,11126667
108,Lawyer Delta,Action (Securities),Ontario,Insurance,Plaintiff,0,1,0,0,1,0,0,1,2119599
109,Lawyer Epsilon,Class Action (Competition),British Columbia,Construction,Plaintiff,1,1,1,1,0,1,1,1,4218571
110,Lawyer Iota,Class Action (Product Liabilty,Ontario,Insurance,Plaintiff,1,1,0,0,0,0,0,1,12024488
111,Lawyer Zeta,Class Action (Privacy,Ontario,Banking,Defendant,1,1,0,1,1,1,0,1,9858838
112,Lawyer Theta,Class Action (Securities),Quebec,Retail,Plaintiff,1,0,0,1,0,1,0,0,7110040
113,Lawyer Alpha,Class Action (Securities),Ontario,Pharmaceuticals,Defendant,1,1,1,1,1,1,0,1,18003611
114,Lawyer Iota,Action (Securities),Federal,Pharmaceuticals,Plaintiff,1,1,1,0,1,1,1,0,17395086
115,Lawyer Theta,Action (Privacy),Alberta,Transportation,Defendant,1,1,1,0,1,0,0,1,1367798
116,Lawyer Zeta,Action (Securities),Alberta,Construction,Plaintiff,1,1,1,1,1,1,0,1,3540063
117,Lawyer Theta,Action (Privacy),Federal,Technology,Defendant,0,0,0,0,1,0,1,0,11011028
118,Lawyer Theta,Class Action (Securities),Quebec,Insurance,Defendant,0,1,0,1,0,1,1,1,10952654
119,Lawyer Kappa,Class Action (Competition),Alberta,Construction,Plaintiff,1,1,1,0,1,1,0,1,14145650
120,Lawyer Gamma,Action (Product Liability),Alberta,Banking,Plaintiff,1,1,1,0,1,0,0,0,16979111
121,Lawyer Beta,Class Action (Securities),Alberta,Retail,Plaintiff,1,1,1,1,1,0,0,0,1070088
122,Lawyer Zeta,Class Action (Privacy,Federal,Technology,Plaintiff,1,0,1,0,0,1,0,0,10322747
123,Lawyer Zeta,Action (Product Liability),Federal,Retail,Third Party,1,1,1,0,1,1,1,1,12326261
124,Lawyer Gamma,Class Action (Competition),Alberta,Banking,Third Party,0,0,0,0,0,0,1,0,8806487
125,Lawyer Eta,Action (Commercial),Quebec,Banking,Defendant,1,0,1,1,0,1,0,1,19983702
126,Lawyer Zeta,Action (Securities),British Columbia,Resources,Defendant,1,1,1,0,1,1,1,1,13972028
127,Lawyer Beta,Action (Commercial),Alberta,Resources,Defendant,0,1,0,1,1,1,1,1,13972186
128,Lawyer Epsilon,Class Action (Securities),Quebec,Banking,Plaintiff,1,0,0,1,0,1,1,1,5450970
129,Lawyer Gamma,Class Action (Privacy,Alberta,Technology,Defendant,0,0,1,0,0,1,1,1,8268630
130,Lawyer Iota,Action (Product Liability),Federal,Pharmaceuticals,Plaintiff,1,1,1,1,0,0,0,0,3698606
131,Lawyer Zeta,Class Action (Securities),Alberta,Retail,Plaintiff,1,1,1,1,1,0,1,1,12497778
132,Lawyer Epsilon,Action (Privacy),Ontario,Transportation,Defendant,1,1,1,1,0,0,1,1,11609385
133,Lawyer Delta,Class Action (Competition),Ontario,Resources,Third Party,0,1,0,0,0,1,1,0,1491910
134,Lawyer Delta,Action (Product Liability),Quebec,Pharmaceuticals,Defendant,0,1,1,0,0,0,1,1,13969737
135,Lawyer Eta,Class Action (Privacy,British Columbia,Transportation,Plaintiff,1,0,1,0,0,0,0,1,19291278
136,Lawyer Beta,Action (Privacy),Quebec,Banking,Defendant,0,1,0,0,1,0,1,0,1245524
137,Lawyer Theta,Class Action (Securities),Ontario,Transportation,Defendant,0,0,0,0,0,0,0,0,18870640
138,Lawyer Alpha,Action (Commercial),Ontario,Retail,Third Party,0,1,1,0,1,0,1,1,8794109
139,Lawyer Zeta,Action (Commercial),Federal,Resources,Defendant,0,1,1,1,1,0,1,0,14866367
140,Lawyer Alpha,Action (Privacy),Quebec,Transportation,Defendant,0,0,1,0,0,0,1,1,14597282
141,Lawyer Epsilon,Action (Product Liability),Quebec,Construction,Third Party,1,1,0,0,0,0,1,0,7473927
142,Lawyer Epsilon,Action (Product Liability),Ontario,Transportation,Plaintiff,0,0,1,1,0,1,1,1,17862632
143,Lawyer Delta,Class Action (Product Liabilty,Federal,Construction,Third Party,1,1,0,0,1,0,1,1,18707481
144,Lawyer Iota,Action (Product Liability),Quebec,Technology,Third Party,1,0,1,1,1,1,0,1,11835073
145,Lawyer Eta,Class Action (Competition),British Columbia,Construction,Defendant,1,0,1,1,0,1,0,0,17359091
146,Lawyer Eta,Class Action (Competition),Federal,Technology,Third Party,0,1,1,0,0,1,0,1,8673402
147,Lawyer Alpha,Class Action (Securities),Quebec,Transportation,Plaintiff,1,1,0,1,0,1,1,0,17270074
148,Lawyer Beta,Action (Product Liability),Federal,Transportation,Defendant,1,0,1,1,0,0,0,1,8836372
149,Lawyer Gamma,Action (Privacy),Federal,Pharmaceuticals,Defendant,1,1,1,0,1,0,0,0,19943190
150,Lawyer Iota,Class Action (Securities),Alberta,Pharmaceuticals,Plaintiff,0,1,0,1,1,0,1,1,12529140
151,Lawyer Theta,Action (Securities),Federal,Retail,Defendant,1,1,1,0,0,0,1,0,16622100
152,Lawyer Theta,Action (Product Liability),Federal,Construction,Third Party,1,0,0,0,1,0,0,1,8197008
153,Lawyer Iota,Class Action (Product Liabilty,Ontario,Technology,Third Party,1,0,0,0,1,0,1,0,19581155
154,Lawyer Delta,Action (Product Liability),Federal,Technology,Defendant,1,0,0,1,1,1,1,1,8595687
155,Lawyer Iota,Action (Privacy),Ontario,Pharmaceuticals,Plaintiff,0,0,1,0,0,1,0,1,5006491
156,Lawyer Epsilon,Class Action (Privacy,Ontario,Insurance,Defendant,0,1,0,0,0,1,1,0,16785154
157,Lawyer Kappa,Class Action (Competition),Federal,Pharmaceuticals,Plaintiff,1,1,0,1,1,1,1,0,16841151
158,Lawyer Eta,Action (Securities),Alberta,Retail,Third Party,1,0,0,0,0,1,0,0,19474100
159,Lawyer Gamma,Action (Product Liability),British Columbia,Transportation,Third Party,1,0,1,0,0,0,1,1,2874786
160,Lawyer Kappa,Action (Product Liability),Federal,Resources,Third Party,1,1,1,1,0,1,1,1,9165202
161,Lawyer Gamma,Class Action (Privacy,Ontario,Pharmaceuticals,Plaintiff,0,1,0,1,0,1,0,0,4484572
162,Lawyer Theta,Class Action (Product Liabilty,Federal,Banking,Plaintiff,1,0,0,1,1,0,1,1,3267475
163,Lawyer Epsilon,Action (Product Liability),British Columbia,Pharmaceuticals,Defendant,0,1,1,0,0,0,1,0,4833810
164,Lawyer Eta,Class Action (Product Liabilty,British Columbia,Insurance,Third Party,0,0,1,0,1,0,1,0,941512
165,Lawyer Epsilon,Class Action (Securities),Ontario,Retail,Third Party,1,0,1,0,1,1,0,1,12742585
166,Lawyer Zeta,Action (Privacy),Ontario,Transportation,Third Party,1,0,1,0,0,0,1,0,709500
167,Lawyer Eta,Action (Securities),Ontario,Construction,Plaintiff,1,1,0,1,0,0,0,0,10860915
168,Lawyer Zeta,Class Action (Privacy,Federal,Insurance,Plaintiff,1,0,0,0,1,0,0,1,19087939
169,Lawyer Alpha,Class Action (Securities),Quebec,Construction,Defendant,1,0,0,0,1,0,0,0,15889848
170,Lawyer Gamma,Action (Commercial),Federal,Transportation,Plaintiff,1,0,1,0,0,1,0,0,11778525
171,Lawyer Kappa,Action (Commercial),Quebec,Construction,Defendant,0,1,1,1,0,0,0,1,8272664
172,Lawyer Gamma,Class Action (Competition),Alberta,Insurance,Third Party,0,0,1,0,0,0,0,0,1180690
173,Lawyer Delta,Class Action (Securities),Ontario,Retail,Defendant,0,0,1,0,1,1,0,1,8194578
174,Lawyer Delta,Class Action (Securities),Alberta,Pharmaceuticals,Plaintiff,1,0,0,0,0,1,0,0,17049688
175,Lawyer Alpha,Class Action (Securities),Quebec,Pharmaceuticals,Third Party,0,0,1,0,1,1,0,0,5728905
176,Lawyer Gamma,Action (Product Liability),British Columbia,Transportation,Third Party,0,0,1,1,1,0,0,0,7943113
177,Lawyer Zeta,Action (Product Liability),Alberta,Resources,Third Party,0,0,0,1,0,0,0,1,9539192
178,Lawyer Beta,Action (Commercial),Federal,Banking,Defendant,1,0,0,1,1,0,0,0,5961360
179,Lawyer Epsilon,Class Action (Privacy,Federal,Retail,Plaintiff,0,0,0,0,1,1,0,0,17535546
180,Lawyer Kappa,Action (Commercial),British Columbia,Technology,Plaintiff,0,0,0,0,1,0,0,1,4262563
181,Lawyer Eta,Action (Commercial),Ontario,Technology,Plaintiff,0,1,1,1,1,0,0,0,6042094
182,Lawyer Theta,Action (Commercial),Alberta,Insurance,Defendant,0,0,0,1,1,1,0,0,3852986
183,Lawyer Eta,Action (Product Liability),Alberta,Banking,Plaintiff,0,1,0,0,0,0,0,0,2344418
184,Lawyer Beta,Action (Securities),British Columbia,Banking,Plaintiff,0,1,0,1,1,0,0,0,4565969
185,Lawyer Iota,Action (Securities),Quebec,Retail,Plaintiff,0,1,0,1,1,0,1,0,13679554
186,Lawyer Gamma,Class Action (Securities),Alberta,Construction,Defendant,0,1,0,0,0,0,0,0,9127880
187,Lawyer Theta,Action (Privacy),Federal,Technology,Plaintiff,0,1,0,0,1,0,1,0,17468683
188,Lawyer Delta,Action (Securities),Federal,Retail,Third Party,0,1,0,1,0,1,0,1,5804404
189,Lawyer Beta,Class Action (Competition),Quebec,Resources,Plaintiff,1,0,1,1,0,1,1,1,2446071
190,Lawyer Epsilon,Class Action (Competition),Alberta,Construction,Defendant,1,1,0,0,0,0,0,0,13566716
191,Lawyer Zeta,Class Action (Privacy,Alberta,Pharmaceuticals,Plaintiff,1,1,0,0,0,1,0,1,15179326
192,Lawyer Kappa,Action (Securities),Alberta,Resources,Third Party,0,0,1,0,1,0,1,0,5866025
193,Lawyer Delta,Action (Commercial),British Columbia,Transportation,Third Party,0,0,1,0,0,0,1,0,18733005
194,Lawyer Eta,Class Action (Securities),Quebec,Technology,Third Party,1,0,0,1,0,1,0,0,17248139
195,Lawyer Beta,Class Action (Competition),Quebec,Transportation,Defendant,1,1,0,0,0,0,0,1,16560488
196,Lawyer Zeta,Action (Commercial),Quebec,Retail,Plaintiff,1,0,1,0,0,1,1,1,1521329
197,Lawyer Alpha,Action (Commercial),Quebec,Transportation,Plaintiff,0,0,0,1,0,0,1,1,19334235
198,Lawyer Delta,Class Action (Competition),British Columbia,Resources,Third Party,1,0,1,1,0,0,0,0,13523518
199,Lawyer Eta,Action (Securities),Quebec,Pharmaceuticals,Third Party,0,1,1,1,0,0,0,1,16152680
200,Lawyer Alpha,Class Action (Privacy,Alberta,Resources,Defendant,1,0,0,1,0,1,0,0,4884035
201,Lawyer Iota,Class Action (Competition),Quebec,Banking,Plaintiff,0,1,1,0,1,0,1,1,12225244
202,Lawyer Iota,Action (Privacy),British Columbia,Construction,Defendant,0,0,0,1,0,1,0,1,19323528
203,Lawyer Gamma,Class Action (Securities),Federal,Construction,Defendant,1,0,1,0,1,1,1,1,2875800
204,Lawyer Alpha,Action (Commercial),Alberta,Technology,Plaintiff,1,0,1,0,0,1,0,0,16502136
205,Lawyer Epsilon,Class Action (Privacy,Alberta,Retail,Third Party,1,1,1,1,0,0,0,0,18114944
206,Lawyer Gamma,Class Action (Product Liabilty,Federal,Insurance,Defendant,0,1,0,1,0,1,1,1,9676113
207,Lawyer Beta,Action (Commercial),Federal,Construction,Plaintiff,0,0,1,1,1,1,1,0,17305735
208,Lawyer Theta,Class Action (Product Liabilty,Ontario,Retail,Defendant,0,0,1,1,1,1,0,0,18986012
209,Lawyer Theta,Class Action (Product Liabilty,Alberta,Retail,Plaintiff,0,1,0,1,1,1,0,1,9052689
210,Lawyer Kappa,Action (Commercial),Quebec,Construction,Third Party,0,0,1,0,0,0,0,0,19898505
211,Lawyer Zeta,Action (Commercial),Federal,Banking,Defendant,0,1,1,0,1,1,1,1,17555052
212,Lawyer Beta,Class Action (Competition),Federal,Resources,Plaintiff,1,1,0,1,0,1,0,0,10420395
213,Lawyer Delta,Class Action (Privacy,Quebec,Banking,Third Party,1,1,1,0,0,0,1,1,6985812
214,Lawyer Alpha,Class Action (Securities),British Columbia,Construction,Third Party,0,0,0,0,1,0,0,0,19325013
215,Lawyer Kappa,Action (Privacy),Quebec,Transportation,Plaintiff,0,0,0,0,1,1,1,1,7116510
216,Lawyer Kappa,Action (Product Liability),Federal,Insurance,Defendant,0,1,0,1,1,1,0,0,12637588
217,Lawyer Iota,Action (Privacy),British Columbia,Transportation,Plaintiff,1,1,0,1,0,0,1,1,5864020
218,Lawyer Epsilon,Action (Privacy),Ontario,Retail,Defendant,1,0,0,0,1,0,1,1,14745000
219,Lawyer Zeta,Class Action (Securities),Federal,Retail,Third Party,0,0,1,1,0,1,0,0,14907826
220,Lawyer Iota,Class Action (Privacy,Federal,Pharmaceuticals,Third Party,0,0,0,0,1,1,0,1,19545056
221,Lawyer Eta,Class Action (Competition),Federal,Technology,Defendant,1,0,0,0,1,0,0,0,7150563
222,Lawyer Theta,Action (Privacy),Quebec,Resources,Defendant,0,1,0,0,1,1,0,1,17982608
223,Lawyer Delta,Class Action (Competition),Federal,Insurance,Defendant,1,0,1,1,1,1,0,0,11437363
224,Lawyer Beta,Class Action (Product Liabilty,Federal,Banking,Third Party,1,0,0,0,0,1,1,1,8804634
225,Lawyer Alpha,Action (Product Liability),Quebec,Construction,Defendant,0,0,0,1,0,1,0,0,10814736
226,Lawyer Theta,Class Action (Privacy,Quebec,Insurance,Plaintiff,0,1,1,0,1,1,0,1,11609372
227,Lawyer Beta,Class Action (Product Liabilty,British Columbia,Resources,Defendant,1,0,1,1,1,1,0,1,10347163
228,Lawyer Beta,Class Action (Privacy,Federal,Banking,Third Party,0,1,1,1,1,1,1,0,5558291
229,Lawyer Delta,Class Action (Securities),Ontario,Pharmaceuticals,Plaintiff,1,1,1,1,0,0,1,0,14330505
230,Lawyer Delta,Class Action (Privacy,Federal,Resources,Third Party,1,1,0,1,0,1,1,1,19553649
231,Lawyer Delta,Class Action (Competition),Ontario,Construction,Defendant,1,0,1,0,1,1,1,0,10718273
232,Lawyer Delta,Class Action (Privacy,Federal,Banking,Third Party,1,1,0,1,0,0,0,0,13559872
233,Lawyer Delta,Class Action (Privacy,Quebec,Retail,Plaintiff,1,1,0,0,1,0,0,0,937627
234,Lawyer Alpha,Class Action (Privacy,Federal,Transportation,Third Party,0,0,1,0,1,1,1,0,5222990
235,Lawyer Eta,Action (Commercial),Federal,Transportation,Third Party,0,0,0,0,0,0,1,1,5076292
236,Lawyer Kappa,Action (Product Liability),Federal,Resources,Plaintiff,0,1,0,0,0,1,0,1,13045434
237,Lawyer Kappa,Class Action (Privacy,Federal,Construction,Third Party,0,1,0,0,0,0,1,0,18104358
238,Lawyer Gamma,Action (Product Liability),Ontario,Transportation,Plaintiff,1,0,0,0,0,1,0,1,12085372
239,Lawyer Gamma,Action (Securities),Quebec,Transportation,Plaintiff,0,0,0,1,1,1,1,1,14209977
240,Lawyer Beta,Class Action (Privacy,Federal,Retail,Defendant,1,1,0,1,0,1,1,0,8024253
241,Lawyer Eta,Class Action (Product Liabilty,British Columbia,Resources,Plaintiff,1,1,0,0,0,0,1,0,15854176
242,Lawyer Beta,Class Action (Competition),Quebec,Insurance,Defendant,0,1,0,0,0,0,1,1,11539515
243,Lawyer Alpha,Action (Commercial),Quebec,Retail,Plaintiff,1,1,1,0,1,0,1,1,18625968
244,Lawyer Delta,Action (Product Liability),Alberta,Resources,Third Party,0,1,1,1,0,1,0,0,16307078
245,Lawyer Beta,Class Action (Securities),Alberta,Resources,Plaintiff,1,1,0,1,0,1,0,1,10734542
